Assessment Name,URL,Category,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Duration,Cleaned Description,cleaned_full_text
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Pre-packaged Job Solutions,No,No,"A, B, P","This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,",50,solution mid upperlevel financial institution managerial position candidate answer series multiple choice question measure management potential management judgment leadership potential team management branch manager problem solving business leadership leadership motivation interpersonal leadership self leadership branch manager judgment multiple configuration version solution available,Branch Manager - Short Form. solution mid upperlevel financial institution managerial position candidate answer series multiple choice question measure management potential management judgment leadership potential team management branch manager problem solving business leadership leadership motivation interpersonal leadership self leadership branch manager judgment multiple configuration version solution available
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Pre-packaged Job Solutions,No,Yes,"B, A, P","The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.","Entry-Level,",28,cashier solution entrylevel retail position employee receive payment form cash check credit card good purchased sample task job include limited handling payment offering customer service issuing receipt refund potential job title use solution cashier sale associate clerk multiple configuration version solution available,Cashier Solution. cashier solution entrylevel retail position employee receive payment form cash check credit card good purchased sample task job include limited handling payment offering customer service issuing receipt refund potential job title use solution cashier sale associate clerk multiple configuration version solution available
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,Pre-packaged Job Solutions,No,Yes,"P, S, A, B","The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees.  Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others.  Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor.  Multiple configurations of this solution are available.","Manager,",48,claimsoperations supervisor solution entrylevel management position involve supervising hourly employee sample task job include limited planning preapring work schedule assigning employee specific dutites coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making daytoday decision minimal guidance others potential job title use solution team leader coach first line supervisor claim supervisor operation supervisor customer service supervisor multiple configuration solution available,Claims/Operations Supervisor Solution. claimsoperations supervisor solution entrylevel management position involve supervising hourly employee sample task job include limited planning preapring work schedule assigning employee specific dutites coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making daytoday decision minimal guidance others potential job title use solution team leader coach first line supervisor claim supervisor operation supervisor customer service supervisor multiple configuration solution available
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,Pre-packaged Job Solutions,No,No,"A, B, C, P, S","The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.","Entry-Level,",41,contact center customer service job focused assessment designed measure skill competency behavior needed success contact center role main focus customer service jfa includes mobileoptimized contact center simulation behavioral assessment cognitive test together assessment capture ability provide exceptional customer service entrylevel contact center role,Contact Center Customer Service + 8.0. contact center customer service job focused assessment designed measure skill competency behavior needed success contact center role main focus customer service jfa includes mobileoptimized contact center simulation behavioral assessment cognitive test together assessment capture ability provide exceptional customer service entrylevel contact center role
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Pre-packaged Job Solutions,No,No,"S, B, C, P",The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,"Entry-Level,",31,customer service jfa designed entrylevel position contact center environment main focus customer service,Contact Center Customer Service 8.0. customer service jfa designed entrylevel position contact center environment main focus customer service
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,Pre-packaged Job Solutions,No,Yes,"A, B, P, S","The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample
tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates;
interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are:
Contact Center Team Leader, First Line Supervisor, and Contact Center Manager.","Manager, Supervisor, Front Line Manager,",50,contact center manager solution mid upperlevel contact center managerial position sample task job include limited supervising coordinating activity subordinate interacting daytoday subordinate training employee potential job title use solution contact center team leader first line supervisor contact center manager,Contact Center Manager - Short Form. contact center manager solution mid upperlevel contact center managerial position sample task job include limited supervising coordinating activity subordinate interacting daytoday subordinate training employee potential job title use solution contact center team leader first line supervisor contact center manager
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,Pre-packaged Job Solutions,No,No,"P, B, C, A, S","The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.","Entry-Level,",41,contact center sale service job focused assessment designed measure skill competency behavior needed success contact center role involve salesrelated behavior recommending product service retaining customer jfa includes mobileoptimized contact center simulation behavioral assessment cognitive test together assessment capture ability provide exceptional customer service drive sale entrylevel contact center role,Contact Center Sales & Service + 8.0. contact center sale service job focused assessment designed measure skill competency behavior needed success contact center role involve salesrelated behavior recommending product service retaining customer jfa includes mobileoptimized contact center simulation behavioral assessment cognitive test together assessment capture ability provide exceptional customer service drive sale entrylevel contact center role
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Pre-packaged Job Solutions,No,No,"S, B, C, P",The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,"Entry-Level,",31,sale service jfa designed contact center role involve sale salesrelated behavior recommending product service retaining customer,Contact Center Sales & Service 8.0. sale service jfa designed contact center role involve sale salesrelated behavior recommending product service retaining customer
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Pre-packaged Job Solutions,No,Yes,"A, B, P, S","The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership
positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited
to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on
attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates
or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal
guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor,
Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor.","Front Line Manager, Professional Individual Contributor, Supervisor,",45,contact center team leadcoach solution job candidate applying entrylevel leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate less tenured peer prioritizing multiple task priority making daytoday decision minimal guidance others potential job title use solution team leader coach first line supervisor processing supervisor call center supervisor customer service supervisor,Contact Center Team Lead/Coach - Short Form. contact center team leadcoach solution job candidate applying entrylevel leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate less tenured peer prioritizing multiple task priority making daytoday decision minimal guidance others potential job title use solution team leader coach first line supervisor processing supervisor call center supervisor customer service supervisor
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,Pre-packaged Job Solutions,No,No,"A, B, P, S","This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","Entry-Level,",39,solution used job candidate applying entrylevel position contact centre environment main focus job customer service candidate answer multiple choice question well question customer call simulation environment solution measure working information customer focus contact centre retention navigation service orientation tactful problem solving addition solution measure data entry speed accuracy multitasking preference achievement orientation conscientiousness,Contact Centre Agent Solution - UK. solution used job candidate applying entrylevel position contact centre environment main focus job customer service candidate answer multiple choice question well question customer call simulation environment solution measure working information customer focus contact centre retention navigation service orientation tactful problem solving addition solution measure data entry speed accuracy multitasking preference achievement orientation conscientiousness
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,",42,customer service representative solution entrylevel position involve high degree interaction customer person phone sample task job include limited taking order solving product service issue responding positively difficult customer referring unresolved issue appropriate individual providing information product andor service potential job title use solution account service representative account representative customer service representative customer service agent,Customer Service - Short Form. customer service representative solution entrylevel position involve high degree interaction customer person phone sample task job include limited taking order solving product service issue responding positively difficult customer referring unresolved issue appropriate individual providing information product andor service potential job title use solution account service representative account representative customer service representative customer service agent
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Customer Service Representative solution is for entry-level positions that involve
a high degree of interaction with customers in person or on the phone. Sample tasks
for this job include, but are not limited to: taking orders; solving product or service
issues; responding positively to difficult customers; referring unresolved issues to the
appropriate individuals; providing information on products and/or services. Potential
job titles that use this solution are: Account Service Representative, Account
Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,",42,customer service representative solution entrylevel position involve high degree interaction customer person phone sample task job include limited taking order solving product service issue responding positively difficult customer referring unresolved issue appropriate individual providing information product andor service potential job title use solution account service representative account representative customer service representative customer service agent,Customer Service - Short Form - UK. customer service representative solution entrylevel position involve high degree interaction customer person phone sample task job include limited taking order solving product service issue responding positively difficult customer referring unresolved issue appropriate individual providing information product andor service potential job title use solution account service representative account representative customer service representative customer service agent
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative.","Entry-Level,",44,customer service sale solution entrylevel position involve providing service support customer selling good service sample task job include limited taking order solving product service issue selling product service responding positively difficult customer adding new good service existing account providing information product andor service potential job title use solution account service representative account representative customer service representative sale representative,Customer Service with Sales - Short Form. customer service sale solution entrylevel position involve providing service support customer selling good service sample task job include limited taking order solving product service issue selling product service responding positively difficult customer adding new good service existing account providing information product andor service potential job title use solution account service representative account representative customer service representative sale representative
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. Potential job titles that use this solution are: Director, Regional Director, and Director of Operations.","Director,",69,director solution intended use senior level position responsible planning directing coordinating key business activity operation company duty responsibility include formulating policy managing daily operation planning use material human resource potential job title use solution director regional director director operation,Director - Short Form. director solution intended use senior level position responsible planning directing coordinating key business activity operation company duty responsibility include formulating policy managing daily operation planning use material human resource potential job title use solution director regional director director operation
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The District/Regional Manager solution is for mid- to senior-level managerial positions that oversee multiple stores within a defined area.  Sample tasks for these jobs include, but are not limited to: directing a group of supervisors or managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals.  Potential job titles that use this solution are: Regional Director, District Manager, General Manager, Regional Manager, Store Manager, and Area Manager. There are multiple configurations and versions of this solution available.","Manager,",65,districtregional manager solution mid seniorlevel managerial position oversee multiple store within defined area sample task job include limited directing group supervisor manager profit loss responsibility district region aligning work overall company goal potential job title use solution regional director district manager general manager regional manager store manager area manager multiple configuration version solution available,District/Regional Manager Solution. districtregional manager solution mid seniorlevel managerial position oversee multiple store within defined area sample task job include limited directing group supervisor manager profit loss responsibility district region aligning work overall company goal potential job title use solution regional director district manager general manager regional manager store manager area manager multiple configuration version solution available
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,Pre-packaged Job Solutions,No,No,"B, P, A","The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk.","Entry-Level,",18,entry level cashier solution entrylevel retail position employee receive payment form cash check credit card good purchased sample task job include limited handling payment offering customer service issuing receipt refund potential job title use solution cashier sale associate clerk,Entry Level Cashier 7.1 (Americas). entry level cashier solution entrylevel retail position employee receive payment form cash check credit card good purchased sample task job include limited handling payment offering customer service issuing receipt refund potential job title use solution cashier sale associate clerk
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,Pre-packaged Job Solutions,No,No,"A, B, P","The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk.","Entry-Level,",18,entry level cashier solution entrylevel retail position employee receive payment form cash check credit card good purchased sample task job include limited handling payment offering customer service issuing receipt refund potential job title use solution cashier sale associate clerk,Entry Level Cashier 7.1 (International). entry level cashier solution entrylevel retail position employee receive payment form cash check credit card good purchased sample task job include limited handling payment offering customer service issuing receipt refund potential job title use solution cashier sale associate clerk
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Pre-packaged Job Solutions,No,No,"C, P","The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".","Entry-Level,",19,entry level customer service solution retail contact center entrylevel position employee interact customer providing information carrying customer request related organization product service sample task job include limited interacting customer phone person taking order solving product service issue responding positively difficult irate customersimportant please note need select correct package depending norm intend use package available product international south africa america,Entry Level Customer Service 7.1 (Americas). entry level customer service solution retail contact center entrylevel position employee interact customer providing information carrying customer request related organization product service sample task job include limited interacting customer phone person taking order solving product service issue responding positively difficult irate customersimportant please note need select correct package depending norm intend use package available product international south africa america
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,Pre-packaged Job Solutions,No,No,"C, P","The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".","Entry-Level,",19,entry level customer service solution retail contact center entrylevel position employee interact customer providing information carrying customer request related organization product service sample task job include limited interacting customer phone person taking order solving product service issue responding positively difficult irate customersimportant please note need select correct package depending norm intend use package available product international south africa america,Entry Level Customer Service 7.1 (International). entry level customer service solution retail contact center entrylevel position employee interact customer providing information carrying customer request related organization product service sample task job include limited interacting customer phone person taking order solving product service issue responding positively difficult irate customersimportant please note need select correct package depending norm intend use package available product international south africa america
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Pre-packaged Job Solutions,No,No,"C, P","The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organization's products or services. Sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".","Entry-Level,",19,entry level customer service solution retail contact center entrylevel position employee interact customer providing information carrying customer request related organization product service sample task job include limited interacting customer phone person taking order solving product service issue responding positively difficult irate customer important please note need select correct package depending norm intend use package available product international south africa america,Entry Level Customer Service 7.1 (South Africa). entry level customer service solution retail contact center entrylevel position employee interact customer providing information carrying customer request related organization product service sample task job include limited interacting customer phone person taking order solving product service issue responding positively difficult irate customer important please note need select correct package depending norm intend use package available product international south africa america
